[logger] capturing stdout/stderr to results/logs/log_2025-11-09-17-07-09.txt
Using device: cuda
英文词汇表大小：10688
中文词汇表大小：3364
示例英文句子索引序列： [2, 3733, 3]
示例中文句子索引序列： [2, 1779, 4, 3]
Epoch 1/40, Train Loss: 4.482, Accuracy: 0.170
Epoch 1/40, Evaluate Loss: 4.482, Accuracy: 0.211
Epoch 2/40, Train Loss: 3.403, Accuracy: 0.231
Epoch 2/40, Evaluate Loss: 3.403, Accuracy: 0.239
Epoch 3/40, Train Loss: 2.860, Accuracy: 0.266
Epoch 3/40, Evaluate Loss: 2.860, Accuracy: 0.261
Epoch 4/40, Train Loss: 2.431, Accuracy: 0.291
Epoch 4/40, Evaluate Loss: 2.431, Accuracy: 0.273
Epoch 5/40, Train Loss: 2.066, Accuracy: 0.318
Epoch 5/40, Evaluate Loss: 2.066, Accuracy: 0.287
Epoch 6/40, Train Loss: 1.733, Accuracy: 0.346
Epoch 6/40, Evaluate Loss: 1.733, Accuracy: 0.294
Epoch 7/40, Train Loss: 1.430, Accuracy: 0.368
Epoch 7/40, Evaluate Loss: 1.430, Accuracy: 0.299
Epoch 8/40, Train Loss: 1.161, Accuracy: 0.394
Epoch 8/40, Evaluate Loss: 1.161, Accuracy: 0.302
Epoch 9/40, Train Loss: 0.921, Accuracy: 0.419
Epoch 9/40, Evaluate Loss: 0.921, Accuracy: 0.303
Epoch 10/40, Train Loss: 0.720, Accuracy: 0.440
Epoch 10/40, Evaluate Loss: 0.720, Accuracy: 0.307
Epoch 11/40, Train Loss: 0.545, Accuracy: 0.463
Epoch 11/40, Evaluate Loss: 0.545, Accuracy: 0.308
Epoch 12/40, Train Loss: 0.412, Accuracy: 0.477
Epoch 12/40, Evaluate Loss: 0.412, Accuracy: 0.308
Epoch 13/40, Train Loss: 0.317, Accuracy: 0.490
Epoch 13/40, Evaluate Loss: 0.317, Accuracy: 0.307
Epoch 14/40, Train Loss: 0.254, Accuracy: 0.498
Epoch 14/40, Evaluate Loss: 0.254, Accuracy: 0.310
Epoch 15/40, Train Loss: 0.210, Accuracy: 0.503
Epoch 15/40, Evaluate Loss: 0.210, Accuracy: 0.307
Epoch 16/40, Train Loss: 0.184, Accuracy: 0.506
Epoch 16/40, Evaluate Loss: 0.184, Accuracy: 0.307
Epoch 17/40, Train Loss: 0.162, Accuracy: 0.507
Epoch 17/40, Evaluate Loss: 0.162, Accuracy: 0.307
Epoch 18/40, Train Loss: 0.150, Accuracy: 0.510
Epoch 18/40, Evaluate Loss: 0.150, Accuracy: 0.311
Epoch 19/40, Train Loss: 0.144, Accuracy: 0.509
Epoch 19/40, Evaluate Loss: 0.144, Accuracy: 0.307
Epoch 20/40, Train Loss: 0.128, Accuracy: 0.513
Epoch 20/40, Evaluate Loss: 0.128, Accuracy: 0.310
Epoch 21/40, Train Loss: 0.120, Accuracy: 0.519
Epoch 21/40, Evaluate Loss: 0.120, Accuracy: 0.309
Epoch 22/40, Train Loss: 0.116, Accuracy: 0.515
Epoch 22/40, Evaluate Loss: 0.116, Accuracy: 0.307
Epoch 23/40, Train Loss: 0.113, Accuracy: 0.516
Epoch 23/40, Evaluate Loss: 0.113, Accuracy: 0.307
Epoch 24/40, Train Loss: 0.105, Accuracy: 0.516
Epoch 24/40, Evaluate Loss: 0.105, Accuracy: 0.308
Epoch 25/40, Train Loss: 0.101, Accuracy: 0.518
Epoch 25/40, Evaluate Loss: 0.101, Accuracy: 0.310
Epoch 26/40, Train Loss: 0.100, Accuracy: 0.515
Epoch 26/40, Evaluate Loss: 0.100, Accuracy: 0.306
Epoch 27/40, Train Loss: 0.095, Accuracy: 0.514
Epoch 27/40, Evaluate Loss: 0.095, Accuracy: 0.311
Epoch 28/40, Train Loss: 0.088, Accuracy: 0.516
Epoch 28/40, Evaluate Loss: 0.088, Accuracy: 0.309
Epoch 29/40, Train Loss: 0.087, Accuracy: 0.518
Epoch 29/40, Evaluate Loss: 0.087, Accuracy: 0.311
Epoch 30/40, Train Loss: 0.082, Accuracy: 0.518
Epoch 30/40, Evaluate Loss: 0.082, Accuracy: 0.309
Epoch 31/40, Train Loss: 0.083, Accuracy: 0.518
Epoch 31/40, Evaluate Loss: 0.083, Accuracy: 0.309
Epoch 32/40, Train Loss: 0.076, Accuracy: 0.519
Epoch 32/40, Evaluate Loss: 0.076, Accuracy: 0.308
Epoch 33/40, Train Loss: 0.078, Accuracy: 0.518
Epoch 33/40, Evaluate Loss: 0.078, Accuracy: 0.309
Epoch 34/40, Train Loss: 0.078, Accuracy: 0.519
Epoch 34/40, Evaluate Loss: 0.078, Accuracy: 0.308
Epoch 35/40, Train Loss: 0.076, Accuracy: 0.520
Epoch 35/40, Evaluate Loss: 0.076, Accuracy: 0.309
Epoch 36/40, Train Loss: 0.072, Accuracy: 0.522
Epoch 36/40, Evaluate Loss: 0.072, Accuracy: 0.309
Epoch 37/40, Train Loss: 0.071, Accuracy: 0.521
Epoch 37/40, Evaluate Loss: 0.071, Accuracy: 0.309
Epoch 38/40, Train Loss: 0.069, Accuracy: 0.524
Epoch 38/40, Evaluate Loss: 0.069, Accuracy: 0.310
Epoch 39/40, Train Loss: 0.070, Accuracy: 0.522
Epoch 39/40, Evaluate Loss: 0.070, Accuracy: 0.308
Epoch 40/40, Train Loss: 0.065, Accuracy: 0.520
Epoch 40/40, Evaluate Loss: 0.065, Accuracy: 0.310
Model saved to results/output/model_stats.txt
Validation Loss: 3.337, Validation Accuracy: 0.310
Top 10 high accuracy examples saved to results/output/evaluate_examples.csv
